T_i  B_i
5,185
536,344
877,246
760,239
925,93
50,406
783,218
627,954
822,910
348,834
983,642
584,263
935,956
705,42
572,554
654,474
911,496
808,342
227,964
682,966
487,804
542,779
308,238
654,378
65,830
358,788
79,8
912,905
976,0
911,229
730,210
397,495
8,488
964,98
794,862
777,140
682,599
672,158
145,928
707,8
213,129
256,171
591,829
631,482
517,655
23,736
74,486
791,998
848,822
580,673
554,413
402,553
148,452
624,209
954,970
529,647
304,80
751,138
194,219
260,216
339,357
661,286
398,144
373,980
827,652
580,149
43,831
254,639
514,284
72,13
265,334
329,544
144,578
555,911
868,513
118,59
37,599
343,513
592,451
65,193
692,673
164,312
582,430
164,992
693,56
925,507
176,447
354,102
919,717
214,159
21,327
892,963
962,266
102,708
765,614
762,889
890,916
875,438
661,672
901,288
769,839
690,835
892,783
385,650
921,992
985,799
697,163
681,694
813,14
957,326
122,841
740,262
834,536
770,667
281,787
372,947
619,966
860,631
207,943
299,518
602,409
534,889
650,303
344,517
501,972
284,685
897,601
793,400
38,970
888,989
768,263
578,63
62,89
568,170
838,549
748,827
754,48
742,149
374,3
820,916
501,966
277,868
338,754
936,523
107,588
503,110
902,32
160,475
365,220
567,479
118,745
889,487
846,344
617,850
323,599
770,950
73,871
251,978
216,480
287,226
716,225
372,47
171,549
933,581
793,675
411,143
237,597
425,257
500,770
997,188
274,846
382,213
145,142
271,65
68,802
973,113
381,62
338,800
873,710
269,47
76,37
788,502
190,323
749,830
421,898
639,31
11,647
409,356
226,218
925,989
815,761
164,245
559,51
896,420
834,579
738,855
560,333
618,832
626,421
605,606
569,965
321,658
560,79
547,463
76,962
723,69
240,750
673,30
653,896
23,837
843,209
379,796
97,579
495,991
867,192
921,430
626,365
113,872
166,322
864,138
880,887
116,155
484,718
736,935
121,403
686,940
441,819
604,638
658,348
300,745
706,933
901,538
70,461
456,712
264,450
239,378
267,46
580,829
925,664
758,501
664,915
807,298
544,181
932,243
357,44
439,291
554,78
777,417
100,447
377,270
560,632
787,102
143,475
302,958
750,798
746,506
876,476
788,105
609,645
196,950
404,852
962,977
740,841
397,714
69,608
126,0
77,273
94,88
798,547
991,460
445,199
30,504
664,45
702,426
680,262
835,139
708,938
643,67
876,701
916,623
929,822
760,276
649,35
837,628
247,427
621,506
201,708
376,818
705,821
72,24
954,653
356,377
745,864
237,362
128,826
697,356
767,693
53,98
863,299
403,701
662,247
686,992
400,27
159,507
475,163
760,284
88,780
429,932
629,766
315,887
4,907
423,503
147,731
453,837
181,746
85,132
517,221
82,209
488,848
35,498
494,577
477,207
895,564
354,573
417,289
575,246
388,122
119,170
189,76
629,459
250,98
956,585
695,294
1,566
103,256
233,187
525,891
624,668
162,458
603,115
598,393
675,56
481,788
299,133
849,822
591,929
881,114
923,427
845,977
234,96
104,741
466,116
19,797
843,880
823,198
459,298
318,442
996,249
648,277
781,653
614,662
955,515
209,964
952,644
76,730
468,129
621,937
120,393
48,942
947,949
732,819
21,282
215,806
651,152
924,667
769,860
693,255
672,31
238,965
304,89
635,422
536,225
579,446
470,478
583,872
815,696
212,917
441,754
259,427
228,359
645,844
287,50
536,153
946,147
229,555
763,348
338,629
734,562
966,335
310,327
471,130
821,304
695,789
473,844
27,205
709,895
27,182
63,912
827,38
33,323
104,155
290,404
605,541
603,420
178,792
198,784
483,403
249,514
752,95
423,559
568,857
967,776
92,447
526,634
644,887
276,431
767,53
987,534
952,341
7,21
652,247
257,647
162,872
635,852
385,857
285,207
652,619
133,667
391,836
7,430
543,425
686,537
767,355
354,611
556,490
454,390
201,499
134,195
90,406
736,839
222,984
511,956
997,852
120,41
812,480
840,83
979,724
622,44
428,520
867,589
396,867
863,427
773,208
77,767
859,313
859,16
840,468
420,915
545,128
754,945
942,844
836,575
570,545
217,291
214,821
840,925
861,675
715,961
783,622
189,465
637,600
820,930
57,421
663,82
53,571
32,24
176,419
145,369
535,155
347,435
494,494
517,3
616,858
78,807
550,794
51,979
237,812
8,382
673,322
94,378
